"Channel","category 1","time streamed c1 (%)","category 2","time streamed c2 (%)"
"RiffTrax","Always on","91.30%","Just Chatting","8.70%"
"RelaxBeats","Music","100.00%","null","0.00%"
"Monstercat","Music","100.00%","null","0.00%"
"RocketBeansTV","Talk show","37.90%","Age of Empire","3.30%"
"SaltyTeemo","League of Legends","100.00%","null","0.00%"
"ESL_CSGO","Counter Strike","100.00%","null","0.00%"
"livekiss","Variety","49.80%","Music","49.20%"
"Gaules","Counter Strike","87.70%","GTA","8.70%"
"voicetv","Variety","100.00%","null","0.00%"
"Downtoquest","Fortnite","10.70%","Apex Legends","8.10%"
